iata_code;1;2
AKX;Актюбинск;Aktyubinsk
AKY;;Civil
ALA;Алматы;Almaty
ALB;Олбани международный;Albany International
ALC;;Alicante El Altet
ALD;Алерта;Alerta
ALE;;Alpine
ALF;Альта;Alta
ALG;;Houari Boumediene
ALH;Олбани;Albany
ALI;;International
ALJ;Кортдум;Kortdoorn
ALK;Асела;Asela
ALL;Албенга;Albenga
ALM;;Municipal
ALN;Альтон;Alton
ALO;Ватерло;Waterloo
ALP;;Nejrab
ALQ;;Federal
ALR;Александра;Alexandra
ALS;;Municipal
ALT;;Alenquer
ALU;Алула;Alula
ALV;;Andorra La Vella H/P
ALW;;Walla Walla
ALX;;Thomas C Russell Fld
ALY;;El Nohza
ALZ;;Alitak SPB
AMA;;Rick Husband Amarillo International
AMB;Амбилобе;Ambilobe
AMC;;Am Timan
AMD;Ахмедабад;Ahmedabad
AME;Альто-Молокуэ;Alto Molocue
AMF;Ама;Ama
AMG;;Amboin
AMH;Арба-Минч;Arba Mintch
AMI;;Selaparang
AMJ;Альменара;Almenara
AMK;;Animas Airpark
AML;;Puerto Armuellas
AMM;;Queen Alia Intl
AMN;;Gratiot Community
AMO;Мао;Mao
AMP;Ампанихи;Ampanihy
AMQ;;Pattimura
AMR;Арно;Arno
AMS;;Amsterdam-Schiphol
AMT;Амата;Amata
AMU;Аманаб;Amanab
AMV;Амдерма;Amderma
AMW;Амес;Ames
AMX;;Ammaroo
AMY;Амбатомаинти;Ambatomainty
AMZ;Ардмор;Ardmore
ANA;;Orange County Steel Salvage Heliport
ANB;;Anniston Metropolitan
ANC;;Ted Stevens Anchorage International Airport
AND;Андерсон;Anderson
ANE;;Marce
ANF;;Cerro Moreno
ANG;;Brie-Champniers
ANH;;Anuha Island Resort
ANI;;Aniak
ANJ;Занага;Zanaga
ANK;;Etimesgut
ANL;Андуло;Andulo
ANM;Антсирабато;Antsirabato
ANN;;Annette Island
ANO;;Angoche
ANP;Ли;Lee
ANQ;;Tri-State Steuben Cty
ANR;;Deurne
ANS;Андауайлас;Andahuaylas
ANT;;St Anton
ANU;;V. C. Bird Intl
ANV;;Anvik
ANW;;Ainsworth
ANX;Анденес;Andenes
ANY;;Anthony
ANZ;;Angus Downs
AOA;Ароа;Aroa
AOB;Аннаберг;Annanberg
AOC;;Altenburg Nobitz
AOD;Абу-Дейя;Abou Deia
AOE;;Anadolu University
AOG;Аншан;Anshan
AOH;;Allen County
AOI;;Falconara
AOJ;Аомори;Aomori
AOK;Карпатос;Karpathos
AOL;;Paso De Los Libres
AON;Арона;Arona
AOO;Мартинсбург;Martinsburg
AOR;Алор-Сетар;Alor Setar
AOS;;Amook
AOT;;Corrado Gex
AOU;Аттопью;Attopeu
APA;;Arapahoe Co
APB;Аполо;Apolo
APC;;Napa County
APE;Сан-Хуан-Апосенто;San Juan Aposento
APF;Неаполь;Naples
APG;;Phillips AAF
APH;;Camp A P Hill
API;Апиай;Apiay
APK;;Apataki
APL;Нампула;Nampula
APN;;Alpena County Regional
APO;Апартадо;Apartado
APP;Асапа;Asapa
APQ;;Arapiraca
APR;Эйприл-Ривер;April River
APS;Анаполис;Anapolis
APT;;Marion County
APU;;Apucarana
APV;Эппл Вэлли;Apple Valley
APW;;Faleolo
APX;;Arapongas
APY;;Alto Parnaiba
APZ;Запала;Zapala
AQA;;Araraquara
AQB;;Quiche Airport
AQG;Аньцин;Anqing
AQI;Кайсумах;Qaisumah
AQJ;;King Hussein Intl
AQM;;Ariquemes
AQP;;Rodriguez Ballon
AQS;Сакани;Saqani
AQY;;Alyeska
ARA;;Acadiana Regional
ARB;;Municipal
ARC;;Arctic Village
ARD;Алор-Айленд;Alor Island
ARE;;Arecibo
ARF;;Acaricuara
ARG;;Walnut Ridge
ARH;Талаги;Talagi
ARI;;Chacalluta
ARJ;Арсо;Arso
ARK;Аруша;Arusha
ARL;Арли;Arly
ARM;Армидаль;Armidale
ARN;;Arlanda
ARO;Арболетас;Arboletas
ARP;Араджип;Aragip
ARQ;Араукита;Arauquita
ARR;Альто-Рио-Сенгерр;Alto Rio Senguerr
ARS;;Aragarcas
ART;;Watertown
ARU;;Aracatuba
ARV;;Noble F. Lee
ARW;Арад;Arad
ARX;;Asbury Park
ARY;;Ararat
ASA;;Assab International
ASB;;Ashgabat
ASC;Аскеншн;Ascension
ASD;;Andros Town
ASE;Аспен;Aspen
ASF;Астрахань;Astrakhan
ASG;Ашбертон;Ashburton
ASH;;Boire Field
ASI;;Wideawake Field
ASJ;Амами-О-Сима;Amami O Shima
ASK;;Yamoussoukro
ASL;;Harrison County
ASM;;Yohannes IV
ASN;;Talladega
ASO;Асоса;Asosa
ASP;Элис Спрингз;Alice Springs
ASQ;Остин;Austin
ASR;;Erkilet International Airport
AST;;Astoria
ASU;;Silvio Pettirossi
ASV;Амбосели;Amboseli
ASW;Асуан;Aswan
ASX;Эшленд;Ashland
ASY;;Ashley
ASZ;Асирим;Asirim
ATA;Анта;Anta
ATB;Атбара;Atbara
ATD;Атоифи;Atoifi
ATE;;Antlers
ATF;;Chachoan
ATG;;Attock
ATH;;Eleftherios Venizelos
ATI;Артигас;Artigas
ATJ;Анцирабе;Antsirabe
ATK;;Atqasuk
ATL;;Hartsfield-jackson Atlanta International
ATM;Альтамира;Altamira
ATN;Наматанай;Namatanai
ATO;;Ohio University
ATP;;Airstrip
ATQ;;Raja Sansi
ATR;;Mouakchott
ATS;;Artesia
ATT;;Atmautluak
ATU;;Casco Cove
ATV;Ати;Ati
ATW;;Outagamie County
ATX;Атбасар;Atbasar
ATY;;Watertown
ATZ;Асьют;Assiut
AUA;;Reina Beatrix
AUB;;Itauba
AUC;Араука;Arauca
AUD;;Augustus Downs
AUE;;Abu Rudeis
AUF;;Auxerre Branches
AUG;;Augusta
AUH;Абу-Даби;Abu Dhabi International
AUI;;Aua Island
AUJ;Амбунти;Ambunti
AUK;;Alakanuk
AUL;;Aur Island
AUM;Остин;Austin
AUN;Обурн;Auburn
AUO;;Auburn-Opelika
AUP;Агаун;Agaun
AUQ;;Atuona
AUR;Орийак;Aurillac
AUT;Атауро;Atauro
AUU;;Aurukun Mission
AUV;;Aumo
AUW;;Municipal
AUX;;Araguaina
AUY;Анейтьюм;Aneityum
AUZ;;Municipal Airport
AVA;;An Shun/Huang Guo Shu
AVB;Авиано;Aviano
AVF;Авориаз;Avoriaz
AVG;Овернь;Auvergne
AVI;;Maximo Gomez
AVK;;Arvaikheer
AVL;;Asheville Regional Airport
AVN;;Avignon-Caum
AVO;;Municipal
AVP;;Wilkes-Barre/Scranton International Airport
AVU;Аву-Аву;Avu Avu
AVV;Мельбурн-аэропорт Авалон;Avalon
AVW;;Avra Valley
AVX;;Avalon Bay
AWA;Авасса;Awassa
AWB;Аваба;Awaba
AWD;Анива;Aniwa
AWE;Алове;Alowe
AWH;Аварех;Awareh
AWK;;Wake Island
AWM;;Municipal
AWN;;Alton Downs
AWP;;Austral Downs
AWR;Авар;Awar
AWZ;Ахваз;Ahwaz
AXA;;Wallblake
AXB;Александрия Бэй;Alexandria Bay
AXC;;Aramac
AXD;Димокритос;Dimokritos
AXE;;Xanxere
AXG;Алгона;Algona
AXK;Атак;Ataq
AXL;Александрия;Alexandria
AXM;;El Eden
AXN;Александрия;Alexandria
AXP;;Springpoint Arpt
AXR;;Arutua
AXS;;Municipal
AXT;Акита;Akita
AXU;Аксум;Axum
AXV;;Neil Armstrong
AXX;;Angel Fire
AYA;Айапел;Ayapel
AYC;Айакучо;Ayacucho
AYD;;Alroy Downs
AYE;;AAF Heliport
AYG;Ягуара;Yaguara
AYH;;RAF Station
AYI;Яри;Yari
AYK;Аркалык;Arkalyk
AYL;;Anthony Lagoon
AYN;Аньян;Anyang
AYO;;Ayolas
AYP;;Yanamilla
AYQ;;Connellan
AYR;Эйр;Ayr
AYS;;Ware County
AYT;Анталия;Antalya
AYU;Айюра;Aiyura
AYW;Аяваси;Ayawasi
AYZ;;Zahns
AZB;Амазон-Бей;Amazon Bay
AZD;Язд;Yazd
AZG;Апацинган;Apatzingan
AZI;Батин;Bateen
AZN;Андижан;Andizhan
AZO;;Kalamazoo/Battle Creek Intl
AZP;;Atizapan
AZR;Адрар;Adrar
AZT;Запатока;Zapatoca
AZZ;;Ambriz
BAA;Биалла;Bialla
BAB;;Beale AFB
BAC;;Barranca De Upia
BAD;;Barksdale AFB
BAE;Барселонетта;Barcelonnette
BAF;;Barnes
BAG;;Loakan
BAH;;Bahrain International
BAI;Буэнос-Айрес;Buenos Aires
BAJ;о.Бали;Bali
BAL;;Batman
BAM;;Lander County
BAN;Базонго;Basongo
BAO;;Udorn
BAP;Байбара;Baibara
BAQ;;E Cortissoz
BAR;;Baker Aaf
BAS;Балале;Balalae
BAT;;Airport Chafei Amsei
BAU;;Bauru
BAV;Баотоу;Baotou
BAW;Биавонке;Biawonque
BAX;Барнаул;Barnaul
BAY;Байя Маре;Baia Mare
BAZ;;Barbelos
BBA;;Teniente Vidal
BBB;;Municipal
BBC;Бэй Сити;Bay City
BBD;;Curtis Field
BBE;;Big Bell
BBF;;Burlington
BBG;Бутаритари;Butaritari
BBH;Барт;Barth
BBI;Бхубанесвар;Bhubaneswar
BBJ;;Bitburg Air Base
BBK;Касане;Kasane
BBL;Баболсар;Babolsar
BBM;Баттамбанг;Battambang
BBN;;Bario
BBO;Бербера;Berbera
BBP;;Bembridge
BBQ;;Barbuda
BBR;;Baillif
BBS;;Blackbushe
BBT;Берберати;Berberati
BBU;;Baneasa
BBV;;Hkg
BBW;;Broken Bow
BBX;;Wings Field
BBY;Бамбари;Bambari
BBZ;Замбези;Zambezi
BCA;Баракоа;Baracoa
BCB;;Virginia Tech
BCC;;Bear Creek
BCD;Баколод;Bacolod
BCE;;Bryce
BCF;Бука;Bouca
BCG;Бемичи;Bemichi
BCH;;Cakung International
BCI;;Barcaldine
BCJ;;Baca Grande
BCK;;Bolwarra
BCL;Барра-Колорадо;Barra Colorado
BCM;Бакау;Bacau
BCN;;El Prat De Llobregat
BCO;;Jinka
BCP;;Bambu
BCQ;Вейл-Игл, шт. Колорадо;Brack
BCR;;Boca Do Acre
BCS;;Southern Seaplane
BCT;;Public
BCU;Баучи;Bauchi
BCV;;Belmopan
BCW;;Benguera Island
BCX;Белорецк;Beloreck
BCY;Бульчи;Bulchi
BCZ;;Bickerton Island
BDA;;Kindley Field
BDB;Бандаберг;Bundaberg
BDC;;Barra Do Corda
BDD;;Badu Island
BDE;;Baudette
BDF;;Rinkenberger
BDG;;Blanding
BDH;Бандар-Ленге;Bandar Lengeh
BDI;Берд-Айленд;Bird Island
BDJ;;Sjamsudin Noor
BDK;;Bondoukou
BDL;;Bradley International
BDM;Бандирма;Bandirma
BDN;;Talhar
BDO;;Husein Sastranegara
BDP;Бхадрапур;Bhadrapur
BDQ;;Vadodara
BDR;;Igor I. Sikorsky Mem.
BDS;;Papola Casale
BDT;;Kisangani
BDU;Бордуфос;Bardufoss
BDV;Моба;Moba
BDW;;Bedford Downs
BDX;;Broadus
BDY;;State
BDZ;Байндунг;Baindoung
BEA;Берейна;Bereina
BEB;;Benbecula
BEC;;Beech
BED;;Hanscom Field
BEE;;Beagle Bay
BEF;Блуфилдс;Bluefields
BEG;;Nikola Tesla
BEH;;Ross Field
BEI;Бейка;Beica
BEJ;;Kalimaru
BEK;;Bareli
BEL;;Val De Cans
BEM;Боссембеле;Bossembele
BEN;;Benina Intl
BEO;;Belmont
BEP;Беллари;Bellary
BEQ;;Honington
BER;;Berlin Metropolitan Area
BES;;Guipavas
BET;;Bethel Airport
BEU;;Bedourie
BEV;;Beer Sheba
BEW;Бейра;Beira
BEX;;RAF Station
BEY;;Rafic Hariri International Airport
BEZ;Беру;Beru
BFA;;Bahia Negra
BFB;;Blue Fox Bay
BFC;;Bloomfield
BFD;;Bradford
BFE;Билифельд;Bielefeld
BFF;;Scotts Bluff County
BFG;;Bullfrog Basin
BFH;;Bacacheri
BFI;;Boeing Field/King County International Airport
BFJ;Ба;Ba
BFK;;Buffalo Municipal Airport
BFL;;Meadows Field
BFM;;Mob Aerospace
BFO;;Buffalo Range
BFP;;Beaver Falls
BFQ;;Bahia Pinas
BFR;;Virgil I Grissom Muni
BFS;;Aldergrove International Airport
BFT;;County
BFU;Бенгбу;Bengbu
BFV;;Buri Ram
BFW;;Sidi Belabbes
BFX;;Bafoussam
BGA;;Palo Negro
BGB;;Booue
BGC;Браганса;Braganca
BGD;;Borger
BGE;;Decatur County
BGF;;Bangui
BGG;;Bongouanou
BGH;;Abbaye
BGI;;Grantley Adams International
BGJ;;Borgarfjordur Eystri
BGK;Биг-Крик;Big Creek
BGL;Баглунг;Baglung
BGM;;Greater Binghamton
BGN;;R.A.F.
BGO;;Bergen Airport, Flesland
BGP;Бонго;Bongo
BGQ;;Big Lake
BGR;;Bangor International Airport
BGS;;Webb AFB
BGT;;Bagdad
BGU;Бангассу;Bangassou
BGV;;Bento Goncalves
BGW;;Al Muthana
BGX;;Airport Cmdt. Gustavo Kraemer
BGY;;Orio al Serio
BGZ;Брага;Braga
BHA;;Bahia De Caraquez
BHB;Бар Харбор;Bar Harbor
BHC;;Bhurban Heliport
BHD;;George Best Belfast City
BHE;;Woodbourne Air Station
BHF;Бахья-Купика;Bahia Cupica
BHG;Брюс-Лагуна;Brus Laguna
BHH;Биша;Bisha
BHI;;Comandante
BHJ;;Rudra Mata
BHK;Бухара;Bukhara
BHL;Бахиа-Ангелес;Bahia Angeles
BHM;;Birmingham
BHN;Бейхан;Beihan
BHO;Бхопал;Bhopal
BHP;Бхойпур;Bhojpur
BHQ;;Broken Hill
BHR;;Bharatpur Airport
BHS;;Raglan
BHT;;Brighton Downs
BHU;Бхавнагар;Bhavnagar
BHV;Бахавалпур;Bahawalpur
BHW;;Bhagatanwala Apt
BHX;;Birmingham International Airport
BHY;Бэйхай;Beihai
BIA;;Poretta
BIB;Байдоа;Baidoa
BIC;Биг-Крик;Big Creek
BID;;Block Island
BIE;;Beatrice
BIF;;Biggs Aaf
BIG;;Intermediate Field
BIH;Бишоп;Bishop
BII;;Enyu Airfield
BIJ;;Biliau
BIK;;Frans Kaisepo
BIL;Биллингс;Billings
BIM;;International
BIN;Бамиан;Bamiyan
BIO;;Sondica
BIP;;Bulimba
BIQ;;Biarritz Parme
BIR;Биратнагар;Biratnagar
BIS;Бисмарк;Bismarck
BIT;Байтади;Baitadi
BIU;Билдудалур;Bildudalur
BIV;Бриа;Bria
BIW;;Billiluna
BIX;;Keesler AFB
BIY;Бишо;Bisho
BIZ;Бимин;Bimin
BJA;;Bejaia
BJB;;Bojnord
BJC;;Jeffco
BJD;Баккафьордур;Bakkafjordur
BJF;Ботсфьорд;Batsfjord
BJG;Болаанг;Bolaang
BJH;Баджханг;Bajhang
BJI;;Bemidji
BJJ;;Wayne County
BJK;Бенджина;Benjina
BJL;;Yundum International
BJM;;International
BJN;Бахоне;Bajone
BJO;Бермехо;Bermejo
BJP;;Braganca Paulista
BJR;Бахар-Дар;Bahar Dar
BJT;;Bentota River
BJU;;Bajura Arpt
BJV;;Milas Airport
BJW;Баджава;Bajawa
BJX;;Del Bajнo International
BJY;;Batajnica
BJZ;;Talaveral La Real
BKA;Быково;Bykovo
BKB;Биканер;Bikaner
BKC;;Buckland
BKD;;Stephens County
BKE;;Baker
BKF;;Lake Brooks SPB
BKH;;Barking Sands PMRF
BKI;;Kota-Kinabalu International Airport
BKJ;Боке;Boke
BKK;;Suvarnabhumi International
BKL;;Burke Lakefront
BKM;;Bakalalan
BKN;;Birni Nkoni
BKO;;Bamako
BKP;;Barkly Downs
BKQ;;Blackall
BKR;Бокоро;Bokoro
BKS;;Padangkemiling
BKT;;Blackstone AAF
BKU;;Betioky
BKW;;Beckley
BKX;;Brookings
BKY;Кавуму;Kavumu
BKZ;Букоба;Bukoba
BLA;;Gen J A Anzoategui
BLB;Балбоа;Balboa
BLC;;Bamenda
BLD;;Boulder City
BLE;;Dala Airport
BLF;;Princeton
BLG;;Belaga
BLH;;Blythe
BLI;;Bellingham
BLJ;Батна;Batna
BLK;;Blackpool Airport
BLL;Биллунд;Billund
BLM;;Monmouth Executive Airport
BLN;;Benalla
BLO;;Blonduos
BLP;Беллависта;Bellavista
BLQ;;Guglielmo Marconi
BLR;;Bangalore International Airport
BLS;;Bollon
BLT;;Blackwater
BLU;;Blue Canyon
BLV;Белльвиль;Belleville
BLW;;Bellows Field
BLX;Беллуно;Belluno
BLY;Белмаллет;Belmullet
BLZ;;Chileka
BMA;;Bromma
BMB;Бумба;Bumba
BMC;;Brigham City
BMD;Бело;Belo
BME;Брум;Broome
BMF;Бакума;Bakouma
BMG;;Bloomington
BMH;Бомай;Bomai
BMI;;Central Illinois Regional Airport at Bloomington-Normal
BMJ;Барамита;Baramita
BMK;Боркум;Borkum
BML;Берлинский муниципальный аэропорт;Berlin Municipal Airport
BMM;Битам;Bitam
BMN;Бамерни;Bamerny
BMO;Бамо;Bhamo
BMP;Бремптон Айленд;Brampton Island
BMQ;Бамбури;Bamburi
BMR;Балтрум;Baltrum
BMS;;Brumado
BMT;Бомонт Муни;Beaumont Muni
BMU;Бима;Bima
BMV;;Phung-Duc
BMW;Борж-Бажи-Мохтар;Bordj Badji Mokhtar
BMX;;Big Mountain
BMY;;Belep Island
BMZ;Баму;Bamu
BNA;;Nashville International
BNB;Боэнде;Boende
BNC;Бени;Beni
BND;Бандар-Аббас;Bandar Abbas
BNE;;Brisbane International
BNF;;Warm Spring Bay SPB
BNG;;Banning
BNH;;Barnes
BNI;Бенин-Сити;Benin City
BNK;;Ballina Byron Gateway
BNL;;Barnwell Regional
BNM;Бодинуму;Bodinumu
BNN;;Bronnoy
BNO;;Burns
BNP;Банну;Bannu
BNQ;;Baganga
BNR;Банфора;Banfora
BNS;Баринас;Barinas
BNT;Бунди;Bundi
BNU;Блюменау;Blumenau
BNV;Боана;Boana
BNW;;Boone
BNX;Баня-Лука;Banja Luka
BNY;Беллона;Bellona
BNZ;Банц;Banz
BOA;Бома;Boma
BOB;;Motu-mute
BOC;;Bocas Del Toro
BOD;;Mйrignac
BOE;Бунджи;Boundji
BOF;;Bolling AFB
BOG;;Eldorado International
BOH;;Bournemouth International
BOI;;Boise Air Terminal/Gowen Field
BOJ;;Bourgas
BOK;;Brookings State
BOL;;Bally Kelly
BOM;;Chhatrapati Shivaji International
BON;;Flamingo International
BOO;Бодо;Bodo
BOP;Буар;Bouar
BOQ;Боку;Boku
BOR;;Fontaine
BOS;;Logan International
BOT;;Boset
BOU;Борже;Bourges
BOV;Боанг;Boang
BOW;;Bartow
BOX;;Borroloola
BOY;Борго;Borgo
BOZ;Бозум;Bozoum
BPA;;Grumman
BPB;Бориди;Boridi
BPC;;Bamenda
BPD;Бапи;Bapi
BPE;Баган;Bagan
BPF;;Batuna Aerodrome
BPG;;Barra Do Garcas
BPH;Бислиг;Bislig
BPI;;Big Piney-marbleton
BPK;;Biangabip
BPN;;Sepingan
BPS;Порто Сегуро;Porto Seguro
BPT;;Jefferson County
BPU;Беппу;Beppu
BPX;;Qamdo Bangda
BPY;Бесалампи;Besalampy
BQA;Балер;Baler
BQB;;Bussellton
BQE;Бубаку;Bubaque
BQH;;London Biggin Hill
BQI;;Bagani
BQK;;Glynco Jetport
BQL;;Boulia
BQN;;Borinquen
BQO;;Bouna
BQQ;;Barra
BQS;Игнатьево;Ignatievo
BQT;Брест;Brest
BQU;;J.F. Mitchell
BQV;;Bartlett SPB
BQW;;Balgo Hills
BRA;;Barreiras
BRB;;Barreirinhas
BRC;;International
BRD;;Brainerd Lakes Regional
BRE;Бремен;Bremen
BRF;;Bradford
BRG;;Municipal
BRH;Брахман;Brahman
BRI;;Palese
BRJ;;Bright
BRK;;Bourke
BRL;;Burlington
BRM;Баркисимето;Barquisimeto
BRN;;Belp
BRO;;South Padre Is. Intl
BRP;Биару;Biaru
BRQ;;Turany
BRR;Норт Бэй;North Bay
BRS;;Bristol
BRT;;Bathurst Island
BRU;Аэропорт Брюсселя;Brussels Airport
BRV;Бременхавен;Bremerhaven
BRW;;Wiley Post/W.Rogers M
BRX;Барахона;Barahona
BRY;;Samuels Field
BRZ;;Borotou
BSA;Боссасо;Bossaso
BSB;;Presidente Juscelino Kubitschek
BSC;Бахья-Солано;Bahia Solano
BSD;Баошань;Baoshan
BSE;Семантан;Sematan
BSF;;Bradshaw AAF
BSG;Бата;Bata
BSH;;Brighton
BSI;;Blairsville
BSJ;;Bairnsdale
BSK;Бискра;Biskra
BSL;;Euroairport Basel Mulhouse Freiburg
BSM;;Bishe-kola
BSN;Боссанга;Bossangoa
BSO;Баско;Basco
BSP;Бенсбах;Bensbach
BSQ;;Bisbee Municipal Arpt
BSR;;International
BSS;;Balsas
BST;Бост;Bost
BSU;Базанкусу;Basankusu
BSV;;Besakoa
BSW;;Boswell Bay
BSX;Бассейн;Bassein
BSY;Бардера;Bardera
BSZ;;Bartletts
BTA;;Yaoundй
BTB;Бету;Betou
BTC;;Batticaloa
BTD;;Brunette Downs
BTE;Бонте;Bonthe
BTF;;Salt Lake Skypark
BTG;Батангафо;Batangafo
BTH;;Hang Nadim
BTI;;Barter Island
BTJ;;Sultan Lskandarmuda Airport
BTK;Братск;Bratsk
BTL;;WK Kellogg Regional
BTM;;Bert Mooney Airport
BTN;;Bennettsville
BTO;Ботопасье;Botopasie
BTP;;Butler County - Kenny Scholter Field
